compound;comp_lemma;const_1_text;const_2_text;const_3_text;const_1_lemma;const_2_lemma;const_3_lemma;gold_branching;language;register;semRel1;semRel2
East-West reductions;_;East;West;reductions;_;_;reduction;BC;EN;general;semRel:HderivedfromM;semRel:HderivedfromM
arms control process;arm control process;arms;control;process;arm;control;process;AB;EN;general;semRel:HforM|_;semRel:HforM|_
East-West agreement;_;East;West;agreement;_;_;agreement;BC;EN;general;semRel:HderivedfromM;semRel:HderivedfromM
East-West relations;_;East;West;relations;_;_;relation;BC;EN;general;semRel:HderivedfromM;semRel:HderivedfromM
Hindu-Sikh riots;_;Hindu;Sikh;riots;_;_;riot;BC;EN;general;semRel:HcausedbyM;semRel:HcausedbyM
Frankfurt Stock Exchange;Frankfurt stock Exchange;Frankfurt;Stock;Exchange;Frankfurt;stock;Exchange;BC;EN;general;semRel:HlocationisM|_;semRel:MhasH|_
cardboard polling booths;cardboard polling booth;cardboard;polling;booths;cardboard;polling;booth;BC;EN;general;semRel:HmadeofM|_;semRel:HforM|_
Brazil election race;Brazil election race;Brazil;election;race;Brazil;election;race;BC;EN;general;semRel:HlocationisM|_;semRel:HisM|_
cocaine dealing house;cocaine deal house;cocaine;dealing;house;cocaine;deal;house;BC;EN;general;semRel:HforM|_;semRel:HforM|_
exchange rate mechanism;exchange rate mechanism;exchange;rate;mechanism;exchange;rate;mechanism;AB;EN;general;semRel:MhasH|_;semRel:HderivedfromM|_
umbrella opposition group;umbrella opposition group;umbrella;opposition;group;umbrella;opposition;group;AB;EN;general;semRel:HisM|_;semRel:HisM|_
emergency party congress;emergency party congress;emergency;party;congress;emergency;party;congress;BC;EN;general;semRel:HduringM|_;semRel:HforM|_
Nobel Peace Prize;Nobel Peace Prize;Nobel;Peace;Prize;Nobel;Peace;Prize;BC;EN;general;semRel:HbyM|_;semRel:HforM|_
Troop pullout plan;troop pullout plan;Troop;pullout;plan;troop;pullout;plan;AB;EN;general;semRel:HforM|_;semRel:HforM|_
emergency party congress;emergency party congress;emergency;party;congress;emergency;party;congress;BC;EN;general;semRel:HduringM|_;semRel:HforM|_
air force helicopters;air force helicopter;air;force;helicopters;air;force;helicopter;AB;EN;general;semRel:HforM|_;semRel:HusedbyM|_
army coup leaders;army coup leader;army;coup;leaders;army;coup;leader;AB;EN;general;semRel:HcausedbyM|_;semRel:MhasH|_
trade union paper;trade union paper;trade;union;paper;trade;union;paper;AB;EN;general;semRel:HforM|_;semRel:HusebyM|_
security police apparatus;security police apparatus;security;police;apparatus;security;police;apparatus;AB;EN;general;semRel:HforM|_;semRel:HderivedfromM|_
televison propaganda war;televison propaganda war;televison;propaganda;war;televison;propaganda;war;AB;EN;general;semRel:HderivedfromM|_;semRel:HderivedfromM|_
Bratislava prison cell;Bratislava prison cell;Bratislava;prison;cell;Bratislava;prison;cell;BC;EN;general;semRel:HlocationisM|_;semRel:HlocationisM|_
satellite intelligence stations;satellite intelligence station;satellite;intelligence;stations;satellite;intelligence;station;BC;EN;general;semRel:MhasH|_;semRel:HforM|_
exchange rate mechanism;exchange rate mechanism;exchange;rate;mechanism;exchange;rate;mechanism;AB;EN;general;semRel:MhasH|_;semRel:HderivedfromM|_
drill canal expansion;drill canal expansion;drill;canal;expansion;drill;canal;expansion;AB;EN;scientific;semRel:HcausedbyM;semRel:HlocationisM
beach- chair position;beach- chair position;beach-;chair;position;beach-;chair;position;AB;EN;scientific;semRel:HforM|SpaceAfter=No;semRel:HderivedfromM|SpaceAfter=No
weight bearing surface;weight bear surface;weight;bearing;surface;weight;bear;surface;AB;EN;scientific;semRel:HhasM;semRel:HforM
ankle fracture treatment;ankle fracture treatment;ankle;fracture;treatment;ankle;fracture;treatment;AB;EN;scientific;semRel:HlocationisM|;semRel:HforM
cartilage fracture repair;cartilage fracture repair;cartilage;fracture;repair;cartilage;fracture;repair;AB;EN;scientific;semRel:HlocationisM;semRel:HforM
demerit point system;demerit point system;demerit;point;system;demerit;point;system;AB;EN;scientific;semRel:HisM;semRel:HforM
cartilage matrix destruction;cartilage matrix destruction;cartilage;matrix;destruction;cartilage;matrix;destruction;AB;EN;scientific;semRel:HmakesM;semRel:HlocationisM|
Brazil election race;Brazil election race;Brazil;election;race;Brazil;election;race;AB;EN;general;semRel:HlocationisM|_;semRel:HaboutM|_
cocaine dealing house;cocaine deal house;cocaine;dealing;house;cocaine;deal;house;AB;EN;general;semRel:MhasH|_;semRel:HforM|_
notch width index;notch width index;notch;width;index;notch;width;index;AB;EN;scientific;semRel:MhasH|;semRel:HderivedfromM
quadriceps tendon grafts;quadricep tendon graft;quadriceps;tendon;grafts;quadricep;tendon;graft;AB;EN;scientific;semRel:HlocationisM;semRel:HderivedfromM
biceps tendon strip;biceps tendon strip;biceps;tendon;strip;biceps;tendon;strip;BC;EN;scientific;semRel:HlocationisM;semRel:Hderivedfrom
patella tendon graft;patella tendon graft;patella;tendon;graft;patella;tendon;graft;AB;EN;scientific;semRel:HlocationisM;semRel:HderivedfromM
shoulder- dislocation study;shoulder- dislocation study;shoulder-;dislocation;study;shoulder-;dislocation;study;AB;EN;scientific;semRel:HlocationisM|SpaceAfter=No;semRel:HaboutM|SpaceAfter=No
"knee school """;"knee school """;knee;school;"""";knee;school;"""";AB;EN;scientific;semRel:HforM;semRel:HisM
positron emission tomography;positron emission tomography;positron;emission;tomography;positron;emission;tomography;AB;EN;scientific;semRel:HhasM;semRel:HusesM
Blutgefäßversorgung;_;Blut;gefäß;versorgung;Blut;Gefäß;Versorgung;AB;GER;scientific;semRel:MderivedfromH;semRel:MhasH
Faserknorpelzone;_;Faser;knorpel;zone;Faser;Knorpel;Zone;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Kniegelenkpräparate;_;Knie;gelenk;präparate;Knie;Gelenk;Präparate;AB;GER;scientific;semRel:MisH;semRel:HderivedfromM
Bindegewebstransplantate;_;Binde;gewebs;transplantate;Binde;Gewebe;Transplantat;AB;GER;scientific;semRel:MderivedfromH;semRel:HlocationisM
Kreuzbandersatz;_;Kreuz;band;ersatz;Kreuz;Band;Ersatz;AB;GER;scientific;semRel:MisH;semRel:MhasH
Quadrizepssehnentransplantate;_;Quadrizeps;Sehnen;transplantate;Quadrizeps;Sehne;Transplantat;AB;GER;scientific;semRel:HderivedfromM;semRel:HderivedfromM
Bizepssehnenstreifen;_;Bizeps;sehnen;streifen;Bizeps;Sehne;Streifen;AB;GER;scientific;semRel:MhasH;semRel:MhasH
Bindegewebstransplantat;_;Binde;gewebs;transplantat;Binde;Gewebe;Transplantat;AB;GER;scientific;semRel:MderivedfromH;semRel:HlocationisM
Patellarsehnenersatzplastik;_;Patellarsehnen;Ersatz;Plastik;Patellarsehnen;Ersatz;Plastik;BC;GER;scientific;semRel:MisH;semRel:MfromH
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Kreuzbandersatzoperation;_;Kreuzband;ersatz;operation;Kreuzband;Ersatz;Operation;BC;GER;scientific;semRel:MisH;semRel:MisH
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Muskelaufbautraining;_;Muskel;aufbau;training;Muskel;Aufbau;Training;AB;GER;scientific;semRel:MhasH;semRel:MderivedfromH
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Kniegelenkarthroskopien;_;Knie;gelenk;arthroskopien;Knie;Gelenk;Arthroskopie;AB;GER;scientific;semRel:MisH;semRel:HderivedfromM
Kniegelenkergüsse;_;Knie;gelenk;ergüsse;Knie;Gelenk;Erguss;AB;GER;scientific;semRel:MisH;semRel:MhasH
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Gesamtkomplikationsrate;_;Gesamt;komplikations;rate;Gesamt;Komplikation;Rate;AB;GER;scientific;semRel:HisM;semRel:MhasH
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific;semRel:MhasH;semRel:HderivedfromM
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific;semRel:HderivedfromM;semRel:MhasH
Kniegelenkverletzungen;_;Knie;gelenk;verletzungen;Knie;Gelenk;Verletzung;AB;GER;scientific;semRel:MisH;semRel:MhasH
Kniegelenkuntersuchung;_;Knie;gelenk;untersuchung;Knie;Gelenk;Untersuchung;AB;GER;scientific;semRel:MisH;semRel:MhasH
Herdanbohrungsoperationen;_;Herd;anbohrungs;operationen;Herd;Anbohrung;Operation;AB;GER;scientific;semRel:HlocationisM;semRel:MisH
