compound;comp_lemma;const_1_text;const_2_text;const_3_text;const_1_lemma;const_2_lemma;const_3_lemma;gold_branching;language;register
Blutgefäßversorgung;_;Blut;gefäß;versorgung;Blut;Gefäß;Versorgung;AB;GER;scientific
Faserknorpelzone;_;Faser;knorpel;zone;Faser;Knorpel;Zone;AB;GER;scientific
Kniegelenkpräparate;_;Knie;gelenk;präparate;Knie;Gelenk;Präparate;AB;GER;scientific
Bindegewebstransplantate;_;Binde;gewebs;transplantate;Binde;Gewebe;Transplantat;AB;GER;scientific
Kreuzbandersatz;_;Kreuz;band;ersatz;Kreuz;Band;Ersatz;AB;GER;scientific
Quadrizepssehnentransplantate;_;Quadrizeps;Sehnen;transplantate;Quadrizeps;Sehne;Transplantat;AB;GER;scientific
Bizepssehnenstreifen;_;Bizeps;sehnen;streifen;Bizeps;Sehne;Streifen;AB;GER;scientific
Bindegewebstransplantat;_;Binde;gewebs;transplantat;Binde;Gewebe;Transplantat;AB;GER;scientific
Patellarsehnenersatzplastik;_;Patellarsehnen;Ersatz;Plastik;Patellarsehnen;Ersatz;Plastik;BC;GER;scientific
Kreuzbandplastik;_;Kreuz;band;plastik;Kreuz;Band;Plastik;AB;GER;scientific
Kreuzbandersatzoperation;_;Kreuzband;ersatz;operation;Kreuzband;Ersatz;Operation;BC;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Kreuzbandrekonstruktion;_;Kreuz;band;rekonstruktion;Kreuz;Band;Rekonstruktion;AB;GER;scientific
Muskelaufbautraining;_;Muskel;aufbau;training;Muskel;Aufbau;Training;AB;GER;scientific
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Kniegelenkarthroskopien;_;Knie;gelenk;arthroskopien;Knie;Gelenk;Arthroskopie;AB;GER;scientific
Kniegelenkergüsse;_;Knie;gelenk;ergüsse;Knie;Gelenk;Erguss;AB;GER;scientific
Kernspintomographie;_;Kern;spin;tomographie;Kern;Spin;Tomographie;AB;GER;scientific
Gesamtkomplikationsrate;_;Gesamt;komplikations;rate;Gesamt;Komplikation;Rate;AB;GER;scientific
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific
Kreuzbandverletzungen;_;Kreuz;band;verletzungen;Kreuz;Band;Verletzung;AB;GER;scientific
Kniegelenkverletzungen;_;Knie;gelenk;verletzungen;Knie;Gelenk;Verletzung;AB;GER;scientific
Kniegelenkuntersuchung;_;Knie;gelenk;untersuchung;Knie;Gelenk;Untersuchung;AB;GER;scientific
Herdanbohrungsoperationen;_;Herd;anbohrungs;operationen;Herd;Anbohrung;Operation;AB;GER;scientific
Nachuntersuchungszeitraum;_;Nachuntersuchungs;Zeit;Raum;Nachuntersuchung;Zeit;Raum;AB;GER;scientific
Femurepiphysenfugen;_;Femur;epiphysen;fugen;Femur;Epiphyse;Fuge;AB;GER;scientific
Operationszeitpunkt;_;Operations;zeit;punkt;Operation;Zeit;Punkt;AB;GER;scientific
Nachuntersuchungszeitpunkt;_;Nachuntersuchungs;zeit;punkt;Nachuntersuchung;Zeit;Punkt;AB;GER;scientific
Herdanbohrungsoperation;_;Herd;anbohrungs;operation;Herd;Anbohrungs;Operation;AB;GER;scientific
Wachstumsfugenschluß;_;Wachstums;fugen;schluß;Wachstum;Fuge;Schluss;AB;GER;scientific
Sprunggelenkbeweglichkeit;_;Sprung;gelenk;beweglichkeit;Sprung;Gelenk;Beweglichkeit;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
Impressionsspaltfrakturen;_;Impressions;spalt;frakturen;Impression;Spalt;Fraktur;AB;GER;scientific
Tibiakopffrakturen;_;Tibia;kopf;frakturen;Tibia;Kopf;Fraktur;AB;GER;scientific
